start_stop,end_stop,distance,bus,step,demand,stop_id,stop_name,geometry,step_demand,is_split
0,50983,9.172085000000003,0,0,80,50983,Papineau / François-H.-Prévost,POINT (-73.628413 45.557554),80,True
50983,0,9.172085000000003,0,1,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,51029,8.012052,1,0,80,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),80,True
51029,0,8.012052,1,1,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,50727,8.005811999999997,2,0,80,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),80,True
50727,0,8.005811999999997,2,1,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,51921,3.6406560000000003,3,0,80,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),80,True
51921,0,3.6406560000000003,3,1,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,56199,3.977873,4,0,80,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),80,True
56199,0,3.977873,4,1,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,51069,5.727274000000001,5,0,62,51069,Ogilvy / Querbes,POINT (-73.625268 45.529197),62,False
51069,0,5.727274000000001,5,1,0,0,Depot,POINT (-73.576437 45.502497),62,False
0,51904,5.885182000000001,6,0,78,51904,Papineau / escalier des Carrières,POINT (-73.58777 45.539114),78,False
51904,0,5.885182000000001,6,1,0,0,Depot,POINT (-73.576437 45.502497),78,False
0,51921,3.6406560000000003,7,0,39,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),39,True
51921,51781,3.2281530000000003,7,1,34,51781,Beaubien / des Écores,POINT (-73.592774 45.547472),73,False
51781,52637,3.01229,7,2,7,52637,De Lorimier / Gauthier,POINT (-73.565087 45.531798),80,False
52637,0,3.537048,7,3,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,51750,2.8416230000000007,8,0,56,51750,du Parc / Saint-Joseph,POINT (-73.594163 45.518983),56,False
51750,0,2.8416230000000007,8,1,0,0,Depot,POINT (-73.576437 45.502497),56,False
0,50422,9.109290999999997,9,0,3,50422,Saint-Laurent / de Port-Royal,POINT (-73.656965 45.546222),3,False
50422,50303,1.6542680000000005,9,1,6,50303,Station Henri-Bourassa,POINT (-73.668563 45.554262),9,False
50303,50983,4.192401000000001,9,2,16,50983,Papineau / François-H.-Prévost,POINT (-73.628413 45.557554),25,True
50983,51741,3.2341470000000005,9,3,49,51741,Beaubien / De Lorimier,POINT (-73.594554 45.545404),74,False
51741,52647,3.6725920000000003,9,4,6,52647,Sherbrooke / Panet,POINT (-73.564917 45.524456),80,False
52647,0,2.632241,9,5,0,0,Depot,POINT (-73.576437 45.502497),80,False
0,50986,5.534662999999999,10,0,23,50986,Queen-Mary / Earnscliffe,POINT (-73.630576 45.481833),23,False
50986,56199,4.734620999999999,10,1,10,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),33,True
56199,52610,3.8563519999999993,10,2,1,52610,Saint-Laurent / Ontario,POINT (-73.566593 45.511244),34,False
52610,52710,0.278109,10,3,16,52710,Saint-Laurent / Sainte-Catherine,POINT (-73.563637 45.509852),50,False
52710,52459,0.807216,10,4,18,52459,Sherbrooke / Jeanne-Mance,POINT (-73.570755 45.509167),68,False
52459,0,0.8618420000000001,10,5,0,0,Depot,POINT (-73.576437 45.502497),68,False
0,51029,8.012052,11,0,17,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),17,True
51029,51372,2.09028,11,1,46,51372,Décarie / Côte-Saint-Antoine,POINT (-73.613443 45.476312),63,False
51372,0,6.533077000000001,11,2,0,0,Depot,POINT (-73.576437 45.502497),63,False
0,51748,3.55696,12,0,75,51748,Saint-Laurent / Fairmount,POINT (-73.594362 45.523823),75,False
51748,0,3.55696,12,1,0,0,Depot,POINT (-73.576437 45.502497),75,False
0,50727,8.005811999999997,13,0,37,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),37,True
50727,51241,2.457919,13,1,35,51241,Station Villa-Maria,POINT (-73.619643 45.479704),72,False
51241,0,6.3495979999999985,13,2,0,0,Depot,POINT (-73.576437 45.502497),72,False
0,51032,5.449322999999999,14,0,68,51032,Queen-Mary / Trans Island,POINT (-73.628631 45.484048),68,False
51032,0,5.449322999999999,14,1,0,0,Depot,POINT (-73.576437 45.502497),68,False
